epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1618.08,1.01112,0.60267,0.82737,0.78019,0.45993,0.51604,0.32792,1.09743,0.68262,0.85111,0.000540037,0.000540037,0.000540037
43,1654.5,0.9955,0.59393,0.82412,0.75719,0.46623,0.51352,0.3296,1.06964,0.65271,0.85297,0.000531038,0.000531038,0.000531038
44,1691.11,0.96411,0.56448,0.82413,0.75546,0.46934,0.52475,0.34008,1.06034,0.63884,0.84175,0.000522039,0.000522039,0.000522039
45,1727.58,0.98518,0.57782,0.82086,0.77691,0.46241,0.51683,0.33423,1.05961,0.65326,0.84726,0.00051304,0.00051304,0.00051304
46,1763.99,0.99599,0.58161,0.8259,0.77714,0.47067,0.52844,0.34316,1.06898,0.63792,0.84714,0.00050404,0.00050404,0.00050404
47,1800.43,0.98668,0.58415,0.82663,0.82431,0.45111,0.53003,0.34462,1.05873,0.64132,0.84725,0.000495041,0.000495041,0.000495041
48,1837.11,0.97773,0.57997,0.82417,0.7865,0.4742,0.53463,0.34694,1.04783,0.6247,0.83737,0.000486042,0.000486042,0.000486042
49,1873.93,0.97651,0.56625,0.82148,0.82027,0.43711,0.53145,0.3407,1.06907,0.65085,0.84629,0.000477043,0.000477043,0.000477043
50,1911.19,0.9702,0.57099,0.82025,0.81559,0.46774,0.53339,0.33975,1.05463,0.62437,0.8502,0.000468044,0.000468044,0.000468044
51,1948.68,0.96053,0.5629,0.81659,0.79015,0.46912,0.53432,0.34749,1.05793,0.63376,0.84471,0.000459045,0.000459045,0.000459045
52,1986.12,0.95011,0.55584,0.81192,0.80572,0.46496,0.53795,0.35005,1.04598,0.63904,0.84659,0.000450046,0.000450046,0.000450046
53,2023.44,0.93622,0.53459,0.81428,0.82305,0.47263,0.5446,0.35296,1.02629,0.61828,0.84717,0.000441047,0.000441047,0.000441047
54,2060.66,0.95052,0.55424,0.81461,0.83147,0.45624,0.5389,0.34808,1.0539,0.63474,0.8482,0.000432048,0.000432048,0.000432048
55,2097.75,0.94345,0.54098,0.81655,0.8383,0.46155,0.53428,0.34535,1.05146,0.62915,0.84717,0.000423049,0.000423049,0.000423049
56,2134.95,0.93483,0.53495,0.82193,0.76495,0.47105,0.52877,0.33572,1.0679,0.63794,0.84869,0.000414049,0.000414049,0.000414049
57,2172.14,0.93737,0.532,0.81781,0.78,0.46656,0.53474,0.3532,1.02918,0.6128,0.8474,0.00040505,0.00040505,0.00040505
58,2209.58,0.92217,0.52323,0.8126,0.84546,0.44732,0.53622,0.34985,1.02761,0.60997,0.84457,0.000396051,0.000396051,0.000396051
59,2247.42,0.925,0.5295,0.82071,0.80259,0.47689,0.5358,0.34918,1.03528,0.61268,0.84649,0.000387052,0.000387052,0.000387052
60,2284.55,0.90891,0.52647,0.81437,0.82464,0.46539,0.53941,0.35069,1.04023,0.61833,0.8509,0.000378053,0.000378053,0.000378053
61,2321.54,0.9043,0.51477,0.80964,0.84392,0.45689,0.54342,0.35354,1.04212,0.61184,0.84769,0.000369054,0.000369054,0.000369054
62,2358.51,0.90647,0.51299,0.81701,0.8138,0.47667,0.5449,0.35344,1.02465,0.61385,0.84808,0.000360055,0.000360055,0.000360055
63,2395.49,0.92423,0.51307,0.8145,0.78355,0.48555,0.54527,0.35648,1.02489,0.59856,0.847,0.000351056,0.000351056,0.000351056
64,2432.26,0.89585,0.50611,0.8122,0.81829,0.47732,0.5537,0.36166,1.02239,0.5866,0.84379,0.000342057,0.000342057,0.000342057
65,2469.09,0.89538,0.51461,0.8131,0.80588,0.46662,0.54702,0.35157,1.0351,0.60699,0.84596,0.000333058,0.000333058,0.000333058
66,2506.04,0.88673,0.51066,0.81686,0.7753,0.47362,0.53716,0.35279,1.02423,0.61333,0.84454,0.000324058,0.000324058,0.000324058
67,2543.2,0.89148,0.50149,0.81368,0.83865,0.46139,0.53901,0.35068,1.02562,0.60909,0.84323,0.000315059,0.000315059,0.000315059
68,2580.26,0.86985,0.49523,0.81007,0.80612,0.47318,0.55528,0.36127,1.0355,0.62181,0.84167,0.00030606,0.00030606,0.00030606
69,2617.62,0.863,0.4839,0.81024,0.84699,0.4681,0.55922,0.36129,1.0314,0.59624,0.84083,0.000297061,0.000297061,0.000297061
70,2654.66,0.84777,0.47368,0.8082,0.81219,0.47286,0.55081,0.36458,1.0145,0.58773,0.84275,0.000288062,0.000288062,0.000288062
71,2693.9,0.8353,0.47417,0.80734,0.82083,0.47687,0.55686,0.36355,1.00929,0.57077,0.83937,0.000279063,0.000279063,0.000279063
72,2731.63,0.84652,0.4738,0.80362,0.80239,0.48244,0.55378,0.36265,1.0169,0.57831,0.84664,0.000270064,0.000270064,0.000270064
73,2769.43,0.85106,0.48026,0.80402,0.79652,0.47534,0.54983,0.3561,1.03767,0.59341,0.84794,0.000261065,0.000261065,0.000261065
74,2807.29,0.84976,0.48114,0.80183,0.83663,0.48534,0.55893,0.35893,1.04013,0.59964,0.84873,0.000252066,0.000252066,0.000252066
75,2845.32,0.83907,0.4702,0.80395,0.7845,0.47654,0.54962,0.35826,1.01325,0.61123,0.84559,0.000243067,0.000243067,0.000243067
76,2883.44,0.83104,0.46145,0.80008,0.86123,0.46642,0.56153,0.36859,1.01047,0.5987,0.8498,0.000234068,0.000234068,0.000234068
77,2921.04,0.83161,0.46763,0.80992,0.77606,0.494,0.55865,0.36098,1.04009,0.61059,0.85142,0.000225068,0.000225068,0.000225068
78,2958.65,0.82005,0.46145,0.80019,0.77465,0.50066,0.56246,0.36587,1.01724,0.59189,0.84488,0.000216069,0.000216069,0.000216069
79,2996.97,0.80601,0.45019,0.80039,0.86967,0.46711,0.56208,0.36436,1.03089,0.60615,0.85167,0.00020707,0.00020707,0.00020707
80,3035.79,0.82443,0.4608,0.80331,0.82262,0.48876,0.5578,0.36182,1.02781,0.60852,0.8491,0.000198071,0.000198071,0.000198071
81,3073.48,0.81744,0.45231,0.79714,0.83133,0.49118,0.56606,0.37046,0.99959,0.58208,0.84329,0.000189072,0.000189072,0.000189072
82,3111.11,0.79502,0.4426,0.79659,0.82678,0.48105,0.55771,0.36063,1.03403,0.58846,0.85004,0.000180073,0.000180073,0.000180073
83,3148.84,0.78927,0.43839,0.79697,0.83855,0.4863,0.56446,0.36692,1.02399,0.58207,0.84817,0.000171074,0.000171074,0.000171074
84,3188.29,0.78779,0.437,0.79869,0.86913,0.48246,0.57375,0.37176,1.02343,0.59076,0.85144,0.000162075,0.000162075,0.000162075
85,3226.56,0.78323,0.43514,0.79901,0.84976,0.48273,0.5625,0.36622,1.01885,0.5857,0.85264,0.000153076,0.000153076,0.000153076
86,3264.91,0.78012,0.43085,0.80219,0.82224,0.48355,0.56546,0.36982,1.00695,0.58004,0.84591,0.000144077,0.000144077,0.000144077
87,3303.72,0.76902,0.42965,0.7993,0.82841,0.48774,0.56755,0.37251,1.01413,0.57969,0.84709,0.000135077,0.000135077,0.000135077
88,3342.04,0.76836,0.42723,0.79604,0.81796,0.49042,0.56652,0.3737,1.00898,0.57443,0.84724,0.000126078,0.000126078,0.000126078
89,3379.44,0.75865,0.41484,0.7959,0.83184,0.488,0.56735,0.37137,1.02048,0.5976,0.85296,0.000117079,0.000117079,0.000117079
90,3416.95,0.7609,0.42307,0.79171,0.84876,0.48099,0.56951,0.37306,1.01001,0.5982,0.84592,0.00010808,0.00010808,0.00010808
91,50.0856,0.76847,0.45892,0.78999,0.85019,0.47489,0.56811,0.36673,1.00939,0.59502,0.8479,9.9081e-05,9.9081e-05,9.9081e-05
92,87.3134,0.7763,0.42087,0.78735,0.81259,0.48768,0.56667,0.36779,1.01326,0.58867,0.84637,9.00819e-05,9.00819e-05,9.00819e-05
93,124.757,0.75396,0.41182,0.79209,0.86281,0.47772,0.57249,0.37318,1.01108,0.58176,0.84739,8.10828e-05,8.10828e-05,8.10828e-05
94,162.109,0.74722,0.41232,0.78565,0.84894,0.48533,0.57318,0.3693,1.02133,0.58565,0.85277,7.20837e-05,7.20837e-05,7.20837e-05
95,199.112,0.73753,0.39941,0.79048,0.81745,0.49467,0.5713,0.37113,1.02564,0.59274,0.85154,6.30846e-05,6.30846e-05,6.30846e-05
96,236.498,0.72554,0.39219,0.7918,0.81168,0.50028,0.57443,0.37389,1.01679,0.59064,0.85172,5.40855e-05,5.40855e-05,5.40855e-05
97,274.083,0.72272,0.40415,0.78572,0.841,0.49081,0.57221,0.37223,1.01547,0.5789,0.85074,4.50864e-05,4.50864e-05,4.50864e-05
98,311.242,0.71407,0.39122,0.78844,0.83353,0.4937,0.57441,0.37309,1.01306,0.57921,0.85324,3.60873e-05,3.60873e-05,3.60873e-05
99,348.08,0.71361,0.386,0.79051,0.8288,0.49612,0.57668,0.3744,1.01668,0.58532,0.85059,2.70882e-05,2.70882e-05,2.70882e-05
100,384.96,0.71347,0.39009,0.78806,0.82117,0.49974,0.57527,0.37602,1.01255,0.57845,0.84938,1.80891e-05,1.80891e-05,1.80891e-05
